Books	First	Theme	Authors	Topic	words	Theme
Слово о полку игореве	Тема защиты родины в произведениях русских писателей	война, объединение руси, защита родины	неизвестен	Topic 0	['свой', 'слово', 'русский', 'роман', 'князь', 'автор', 'игорь', 'сын', 'произведение', 'друг', 'земля', 'бен', 'природа', 'государство', 'русь', 'становиться', 'дело', 'образ', 'любовь', 'полк', 'ниловна', 'отец', 'история', 'понимать', 'самый', 'игорев', 'думать', 'последний', 'казаться', 'показывать']	
Поэзия Ахматовой	Лирический герой – частый субъект лирики у русских поэтов	Лирические герои	Ахматова, Твардовский	Topic 1	['ахматова', 'свой', 'любовь', 'анна', 'дон', 'стихотворение', 'душа', 'давать', 'любить', 'судьба', 'гуан', 'женщина', 'героиня', 'становиться', 'боль', 'чувство', 'герой', 'поэт', 'слово', 'понимать', 'песня', 'огонь', 'твардовский', 'говорить', 'знать', 'память', 'строка', 'сила', 'писать', 'друг']	
Дубровский	Жизнь русского крестьянина ярко отражена в творчестве писателей.	Народная тема, крестяне, быт	Некрасов, Пушкин	Topic 2	['некрасов', 'крестьянин', 'григорий', 'свой', 'поэма', 'дубровский', 'женщина', 'народ', 'жить', 'аксинья', 'счастие', 'русь', 'наталья', 'мужик', 'народный', 'сын', 'ребенок', 'мелехов', 'показывать', 'образ', 'владимир', 'муж', 'матрена', 'казак', 'барин', 'дом', 'петрович', 'сила', 'помещик', 'понимать']	
Гранатовый браслет	Любовная линия, как и вообще тема любви, является основной в приведенном тексте.	Любовь, смена эпох	Куприн, Солженицын	Topic 3	['любовь', 'куприн', 'свой', 'рассказ', 'браслет', 'вера', 'николаевна', 'солженицын', 'гранатовый', 'власть', 'генерал', 'аносов', 'женщина', 'княгиня', 'олеся', 'самый', 'смерть', 'прекрасный', 'погода', 'счастие', 'чувство', 'творчество', 'автор', 'слово', 'огромный', 'писатель', 'тема', 'великий', 'возвышенный', 'создавать']	
Гроза	Конфликт героя и общества – любовь и нелюбовь, лед и пламень, гордость и предубеждение.	Конфликт героя и общества, любовь	Островский	Topic 4	['катерина', 'свой', 'островский', 'гроза', 'пьеса', 'борис', 'жить', 'муж', 'темный', 'мир', 'царство', 'дом', 'душа', 'любовь', 'дикий', 'грех', 'кабаниха', 'героиня', 'драма', 'тихон', 'н', 'бояться', 'варвара', 'любить', 'сила', 'становиться', 'говорить', 'характер', 'женщина', 'бог']	
Вишневый сад	Возможно ли более ярко отразить смену эпох в литературе?	Конфликт поколений, смена эпох, будущее России	Чехов, Пастернак	Topic 5	['чехов', 'свой', 'пастернак', 'герой', 'рассказ', 'кутузов', 'сад', 'толстой', 'говорить', 'наполеон', 'любовь', 'сила', 'мир', 'вишневый', 'жить', 'самый', 'автор', 'становиться', 'слово', 'мысль', 'писатель', 'город', 'поэтому', 'п', 'полководец', 'понимать', 'давать', 'история', 'конец', 'пьеса']	
Поэзия Цветаевой, Маяковского	Поэзия модернистов — вольный полет души, безудержный вихрь мысли и чувства. 	Революция	Цветаева,Лермонтов,Маяковский	Topic 6	['свой', 'поэт', 'стих', 'цветаева', 'поэзия', 'давыдов', 'нагульнов', 'земля', 'становиться', 'новый', 'смерть', 'мир', 'маяковский', 'писать', 'марина', 'творчество', 'казак', 'автор', 'революция', 'стихотворение', 'образ', 'любовь', 'век', 'лермонтов', 'судьба', 'знать', 'тема', 'слово', 'щукарь', 'понимать']	
Мастер и Маргарита, Каин	Русская литература полна религиозного мистицизма.	Религия	Булгаков,Байрон	Topic 7	['свой', 'роман', 'мастер', 'булгаков', 'король', 'лягушонок', 'маргарита', 'воланд', 'пилат', 'добро', 'становиться', 'зло', 'иешуа', 'министр', 'берлиоз', 'друг', 'прокуратор', 'байрон', 'смерть', 'понтий', 'сила', 'свобода', 'карлик', 'жестокий', 'лицо', 'голова', 'борьба', 'рыбак', 'вино', 'великий']	
Обломов, стихи есенина	Истинно национальная трагедия – какая она?	Русский характер	Есенин, Гончаров	Topic 8	['есенин', 'обломов', 'свой', 'поэт', 'родина', 'любовь', 'герой', 'родной', 'стих', 'россия', 'становиться', 'стихотворение', 'новый', 'русь', 'страна', 'ольга', 'деревня', 'земля', 'судьба', 'чувство', 'душа', 'образ', 'мир', 'часть', 'сергей', 'край', 'самый', 'понимать', 'лирический', 'русский']	
Борис Годунов	Облик русского царизма впервые столь подобострастно описан в “Борисе Годунове” А.С.Пушкина	Русский царизм	Пушкин,Толстой	Topic 9	['петр', 'пушкин', 'исторический', 'история', 'народ', 'россия', 'событие', 'русский', 'произведение', 'царь', 'свой', 'эпоха', 'тема', 'поэма', 'образ', 'роман', 'герой', 'великий', 'борис', 'становиться', 'роль', 'являться', 'главный', 'художественный', 'личность', 'толстой', 'капитанский', 'дочка', 'медный', 'всадник']	
